area,floorRange,typeOfSale,price,propertyType,typeOfArea,mktSegment,Year,region
1362.6,Ground,Resale,30000000,Detached,Land,CCR,2021,Central
49.0,06-10,Resale,1175000,Apartment,Strata,CCR,2024,Central
115.0,01-05,Resale,1825000,Apartment,Strata,RCR,2024,East
216.0,Ground,Resale,3960000,Semi-detached,Land,CCR,2024,Central
104.0,16-20,Resale,1420000,Apartment,Strata,RCR,2023,East
61.0,11-15,New Sale,1943800,Condominium,Strata,CCR,2023,Central
171.0,06-10,Resale,3795000,Apartment,Strata,CCR,2024,Central
42.0,01-05,Resale,695000,Apartment,Strata,RCR,2023,East
54.0,01-05,Resale,858000,Apartment,Strata,CCR,2024,Central
61.0,01-05,Resale,1468000,Apartment,Strata,CCR,2024,Central
49.0,01-05,Resale,1030000,Apartment,Strata,CCR,2023,Central
95.0,01-05,Resale,1130000,Apartment,Strata,RCR,2021,East
59.0,01-05,Resale,1620000,Condominium,Strata,CCR,2023,Central
94.0,21-25,Resale,2300000,Condominium,Strata,CCR,2024,Central
146.0,06-10,Resale,3600000,Condominium,Strata,CCR,2023,Central
235.2,Ground,Resale,4250000,Terrace,Land,RCR,2023,Central
154.2,Ground,Resale,2350000,Terrace,Land,OCR,2021,East
80.0,01-05,Resale,1049200,Apartment,Strata,RCR,2019,Central
99.0,01-05,Resale,1225000,Apartment,Strata,RCR,2023,East
83.0,01-05,Resale,1518000,Condominium,Strata,CCR,2020,Central
635.0,Ground,Resale,12250000,Detached,Land,RCR,2024,East
38.0,01-05,Resale,645000,Apartment,Strata,RCR,2024,East
84.0,01-05,Resale,1150000,Apartment,Strata,CCR,2020,Central
