area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,mktSegment
91,16-20,1,0224,1,2588000,Apartment,07,Strata,99 yrs lease commencing from 2019,CCR
146,01-05,1,0623,3,1750000,Condominium,18,Strata,99 yrs lease commencing from 1996,OCR
111,01-05,1,1223,3,1488000,Apartment,12,Strata,Freehold,RCR
82,01-05,1,0723,2,1885888,Apartment,21,Strata,99 yrs lease commencing from 2019,RCR
69,01-05,1,0922,3,990000,Apartment,15,Strata,Freehold,OCR
115,01-05,1,0321,3,1240000,Apartment,15,Strata,Freehold,OCR
419.6,-,1,0321,3,5650000,Detached,19,Land,Freehold,OCR
274.9,-,1,0421,3,4800000,Semi-detached,21,Land,Freehold,RCR
136,01-05,1,0221,3,1408000,Apartment,08,Strata,Freehold,RCR
75,06-10,1,0821,3,768000,Apartment,14,Strata,Freehold,RCR
257,11-15,1,0222,3,4428000,Apartment,15,Strata,Freehold,RCR
148,01-05,1,0622,3,2450000,Condominium,15,Strata,Freehold,RCR
72,01-05,1,0623,3,1007500,Condominium,18,Strata,99 yrs lease commencing from 2012,OCR
130,06-10,1,0423,3,2580000,Apartment,09,Strata,999 yrs lease commencing from 1841,CCR
73,11-15,1,0424,3,1028000,Condominium,18,Strata,99 yrs lease commencing from 2011,OCR
117,01-05,1,1121,3,1300000,Apartment,08,Strata,Freehold,RCR
142,-,1,0522,3,4080000,Terrace,08,Land,Freehold,RCR
147.6,-,1,0922,3,4300000,Terrace,11,Land,Freehold,CCR
290,01-05,1,1021,3,3515000,Strata Terrace,11,Strata,Freehold,CCR
